ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name
2871468,CJ,CJ.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2862426,PY,PY.BA,22/SP,MA-105,MA-105-03,N,,,,0,Pasner
2854165,BUBR,BUBR.BS,22/SP,MA-117,MA-117-04,N,,,,0,Gallagher
2873764,UN,UN.BX,22/SP,MA-105,MA-105-06,A,,,,0,Kallas
2850982,PY,PY.BA,22/SP,MA-105,MA-105-04,N,,,,0,Lampell
2866958,HE,HE.HE.BS,22/SP,MA-101,MA-101-02,N,,,,0,Dubinsky
2865989,UN,UN.BX,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2876209,HS,HS.EDS.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2862979,EDIS,IS.EDE.BA,22/SP,MA-105,MA-105-05,N,,,,0,Pasner
2866317,HE,HE.HE.BS,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2868655,HE,HE.HE.BS,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2864225,HE,HE.EX.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2835094,BUBFR,BUBFR.BS,22/SP,MA-105,MA-105-08,N,,,,0,Kaub
2863183,HS,HS.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2871940,UN,UN.BX,22/SP,MA-105,MA-105-01,N,,,,0,Zak
2873804,HEPR,HEPR.FW.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2866203,CJ,CJ.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2865532,EY,ECEE.TSD.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2867046,HE,HE.HE.BS,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2861825,NU,NU.PL.BSN,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2866560,CS,CS.BS,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2858171,BUBK,BUBK.BS,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2871198,PY,PY.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2866701,BUBK,BUBK.BS,22/SP,MA-105,MA-105-05,N,,,,0,Pasner
2872709,CS,CS.BS,22/SP,MA-101,MA-101-02,N,,,,0,Dubinsky
2864349,NU,NU.PL.BSN,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2835886,HS,HS.BA,22/SP,MA-100,MA-100-02,N,,,,0,Mattaliano
2855674,CO,CO.AC.BA,22/SP,MA-105,MA-105-08,N,,,,0,Kaub
2866047,EN,EN.EDE.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2774836,UN,UN.BX,22/SP,MA-117,MA-117-07,N,,,,0,Epstein
2867986,HS,HS.EDS.BA,22/SP,MA-105,MA-105-06,N,,,,0,Kallas
2865788,BUBR,BUBR.BS,22/SP,MA-117,MA-117-05,N,,,,0,Palsu-Andriescu
2865026,CE,CE.BS,22/SP,MA-101,MA-101-02,N,,,,0,Dubinsky
2871217,HEPE,HEPE.ED.BS,22/SP,MA-105,MA-105-08,N,,,,0,Kaub
2865262,NU,NU.PL.BSN,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2873848,CO,CO.PR.BA,22/SP,MA-105,MA-105-50,N,,,,0,Kaub
2867607,CJ,CJ.BA,22/SP,MA-105,MA-105-50,N,,,,0,Kaub
2865268,HE,HE.HE.BS,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2864381,NU,NU.PL.BSN,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2870945,UN,UN.BX,22/SP,MA-105,MA-105-03,N,,,,0,Pasner
2884512,HE,HE.HE.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2872376,HLS,HLS.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2861998,PY,PY.BA,22/SP,MA-105,MA-105-07,A,,,,0,Lampell
2852782,HE,HE.HE.BS,22/SP,MA-203,MA-203-01,N,,,,0,Turner
2869961,PY,PY.BA,22/SP,MA-105,MA-105-03,N,,,,0,Pasner
2872533,CJ,CJ.BA,22/SP,MA-105,MA-105-50,N,,,,0,Kaub
2872841,UN,UN.BX,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2871281,BUKDS,BUBKMDS.BS,22/SP,MA-105,MA-105-09,N,,,,0,Marchetta
2870951,BUSBM,BUBSBM.BS,22/SP,MA-105,MA-105-08,N,,,,0,Kaub
2824575,HE,HE.EX.BS,22/SP,MA-151,MA-151-02,N,,,,0,Dandola-Depaolo
2867238,CO,CO.PR.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2871034,BUBR,BUBR.BS,22/SP,MA-105,MA-105-03,N,,,,0,Pasner
2849368,HE,HE.HE.BS,22/SP,MA-151,MA-151-01,N,,,,0,Pang
2873646,CO,CO.MSP.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2866120,BUKDS,BUBKMDS.BS,22/SP,MA-117,MA-117-07,N,,,,0,Epstein
2873649,BY,BY.BS,22/SP,MA-101,MA-101-02,N,,,,0,Dubinsky
2872041,CJ,CJ.BA,22/SP,MA-105,MA-105-05,N,,,,0,Pasner
2872088,UN,UN.BX,22/SP,MA-105,MA-105-01,A,,,,0,Zak
2717757,PY,PY.BA,22/SP,MA-151,MA-151-03,N,,,,0,Bastian
2777789,BUSBM,BUBSBM.BS,22/SP,MA-117,MA-117-01,N,,,,0,Palsu-Andriescu
2862868,BUKDS,BUBKMDS.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2867270,BY,BY.MEBP.BS,22/SP,MA-117,MA-117-50,N,,,,0,Epstein
2868108,PY,PY.BA,22/SP,MA-105,MA-105-05,N,,,,0,Pasner
2870917,BY,BY.MEBP.BS,22/SP,MA-101,MA-101-02,N,,,,0,Dubinsky
2864435,HE,HE.HE.BS,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2870659,BUKDS,BUBKMDS.BS,22/SP,MA-117,MA-117-07,N,,,,0,Epstein
2851288,UN,UN.BX,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2873330,UN,UN.BX,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2862002,CO,CO.PR.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2865565,CO,CO.MSP.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2865566,BUBFR,BUBFR.BS,22/SP,MA-105,MA-105-04,N,,,,0,Lampell
2846778,BY,BY.BS,22/SP,MA-151,MA-151-02,N,,,,0,Dandola-Depaolo
2864650,CO,CO.PR.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2872110,PY,PY.BA,22/SP,MA-105,MA-105-05,N,,,,0,Pasner
2866149,HEPE,HEPE.ED.BS,22/SP,MA-105,MA-105-01,N,,,,0,Zak
2873471,UN,UN.BX,22/SP,MA-101,MA-101-01,N,,,,0,Dubinsky
2865572,EY,ECEE.TSD.BA,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2877330,BY,BY.MEBP.BS,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2872225,BUUN,BUUN.BX,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2855111,BULOD,BUBLOD.BS,22/SP,MA-117,MA-117-50,N,,,,0,Epstein
2869388,HE,HE.HE.BS,22/SP,MA-151,MA-151-05,N,,,,0,Dandola-Depaolo
2867367,BY,BY.BS,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2872313,BUBK,BUBK.BS,22/SP,MA-050,MA-050-02,N,,,,0,Dietrich
2863372,BUBR,BUBR.BS,22/SP,MA-105,MA-105-07,N,,,,0,Lampell
2849671,BUBF,BUBF.BS,22/SP,MA-118,MA-118-03,N,,,,0,Ralli
2845315,SW,SW.BSW,,MA-100,MA-100-,TR,,,T,3,
