New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
1169191,HON,3.742,2018,18/FA,MA-125,N,A-,MATH.4
,MA,,,,,,,
1235705,,2.679,0,,MA-050,NC,,MATH.3
1235705,,2.679,0,,MA-101,NC,,MATH.3
1235705,,2.679,2019,19/FA,MA-109,N,B-,MATH.3
1235705,,2.679,2019,20/SP,MA-125,N,B-,MATH.3
1237087,CS,3.836,0,,MA-050,NC,,MATH.3
1237087,CS,3.836,0,,MA-101,NC,,MATH.3
1237087,CS,3.836,2018,18/FA,MA-109,N,A,MATH.3
1237087,CS,3.836,2018,19/SP,MA-125,N,B-,MATH.3
881133,,3.146,0,,MA-050,NC,,MATH.4
881133,,3.146,0,,MA-101,NC,,MATH.4
881133,,3.146,0,,MA-109,NC,,MATH.4
881133,,3.146,0,,MA-115,NC,,MATH.4
881133,,3.146,2012,12/FA,MA-125,N,A,MATH.4
1121495,,3.681,0,,MA-050,NC,,MATH.4
1121495,,3.681,0,,MA-101,NC,,MATH.4
1121495,,3.681,0,,MA-109,NC,,MATH.4
1121495,,3.681,0,,MA-115,NC,,MATH.4
1121495,,3.681,2016,16/FA,MA-125,N,A,MATH.4
1306067,HON,3.957,0,,MA-050,NC,,MATH.4
,MA,,,,,,,
,EDS,,,,,,,
1306067,HON,3.957,0,,MA-101,NC,,MATH.4
,MA,,,,,,,
,EDS,,,,,,,
1306067,HON,3.957,0,,MA-109,NC,,MATH.4
,MA,,,,,,,
,EDS,,,,,,,
1306067,HON,3.957,0,,MA-115,NC,,MATH.4
,MA,,,,,,,
,EDS,,,,,,,
1306067,HON,3.957,2020,20/FA,MA-125,N,A,MATH.4
,MA,,,,,,,
,EDS,,,,,,,
760636,,3.494,0,,MA-050,NC,,MATH.4P
760636,,3.494,0,,MA-101,NC,,MATH.4P
760636,,3.494,0,,MA-109,PR,,MATH.4P
760636,,3.494,0,,MA-115,NC,,MATH.4P
760636,,3.494,2009,09/FA,MA-109,TR,T,MATH.4P
760636,,3.494,2010,10/FA,MA-125,N,C+,MATH.4P
760636,,3.494,2011,11/FA,MA-105,N,B,MATH.4P
808133,,3.715,0,,MA-050,NC,,MATH.4
808133,,3.715,0,,MA-101,NC,,MATH.4
808133,,3.715,0,,MA-109,NC,,MATH.4
808133,,3.715,0,,MA-115,NC,,MATH.4
808133,,3.715,2010,10/FA,MA-125,N,A-,MATH.4
937323,,3.393,0,,MA-050,NC,,MATH.4
937323,,3.393,0,,MA-101,NC,,MATH.4
937323,,3.393,0,,MA-109,NC,,MATH.4
937323,,3.393,0,,MA-115,NC,,MATH.4
937323,,3.393,2013,13/FA,MA-125,N,A-,MATH.4
1079669,,3.367,0,,MA-050,NC,,MATH.4
1079669,,3.367,0,,MA-101,NC,,MATH.4
1079669,,3.367,0,,MA-109,NC,,MATH.4
1079669,,3.367,0,,MA-115,NC,,MATH.4
1079669,,3.367,2015,15/FA,MA-125,N,B+,MATH.4
1074673,,3.894,0,,MA-050,NC,,MATH.3
1074673,,3.894,0,,MA-101,NC,,MATH.3
1074673,,3.894,2016,16/FA,MA-109,N,A,MATH.3
1074673,,3.894,2016,17/SP,MA-125,N,A,MATH.3
1108613,,3.833,0,,MA-050,NC,,MATH.4
1108613,,3.833,0,,MA-101,NC,,MATH.4
1108613,,3.833,0,,MA-109,NC,,MATH.4
1108613,,3.833,0,,MA-115,NC,,MATH.4
1108613,,3.833,2016,16/FA,MA-125,N,A,MATH.4
1306368,SE,3.767,0,,MA-050,NC,,MATH.4
1306368,SE,3.767,0,,MA-101,PR,,MATH.4
1306368,SE,3.767,0,,MA-109,NC,,MATH.4
1306368,SE,3.767,0,,MA-115,NC,,MATH.4
1306368,SE,3.767,2020,20/FA,MA-101,TR,T,MATH.4
1306368,SE,3.767,2021,21/FA,MA-125,N,B+,MATH.4
844206,,3.49,0,,MA-050,NC,,MATH.4
844206,,3.49,0,,MA-101,NC,,MATH.4
844206,,3.49,0,,MA-109,NC,,MATH.4
844206,,3.49,0,,MA-115,NC,,MATH.4
844206,,3.49,2013,13/FA,MA-125,N,B-,MATH.4
1314159,,0.563,0,,MA-050,NC,,MATH.3
1314159,,0.563,0,,MA-101,NC,,MATH.3
1314159,,0.563,2020,20/FA,MA-125,N,F,MATH.3
931335,,3.389,0,,MA-050,NC,,MATH.4
931335,,3.389,0,,MA-101,NC,,MATH.4
931335,,3.389,0,,MA-109,NC,,MATH.4
931335,,3.389,0,,MA-115,NC,,MATH.4
931335,,3.389,2013,13/FA,MA-125,N,B-,MATH.4
